Gene / Product (bioentity),Gene / Product (bioentity_label),Gene / Product (bioentity_name),Synonyms,Organism (taxon_label),Type,Source,PANTHER family (panther_family_label),PANTHER family (panther_family),Direct annotation (annotation_class_list_label),Direct annotation (annotation_class_list),Inferred annotation (annotation_class_list_label),Inferred annotation (annotation_class_list)
UniProtKB:Q9UBK5,HCST,Hematopoietic cell signal transducer,DAP10|KAP10|PIK3AP|UNQ587/PRO1157,Homo sapiens,protein,UniProtKB,family not named pthr21409,PANTHER:PTHR21409,phosphatidylinositol 3-kinase binding|positive regulation of phosphatidylinositol 3-kinase signaling|protein binding|integral component of membrane|protein phosphorylation|signaling receptor binding|plasma membrane|cell surface|regulation of immune response,GO:0043548|GO:0014068|GO:0005515|GO:0016021|GO:0006468|GO:0005102|GO:0005886|GO:0009986|GO:0050776,,
UniProtKB:O43866,CD5L,CD5 antigen-like,API6|UNQ203/PRO229,Homo sapiens,protein,UniProtKB,lysyl oxidase-related pthr19331,PANTHER:PTHR19331,positive regulation of complement-dependent cytotoxicity|scavenger receptor activity|extracellular region|immune system process|plasma membrane|cell surface|cellular defense response|extracellular space|inflammatory response|vesicle-mediated transport|regulation of complement activation|cytoplasm|apoptotic process|blood microparticle,GO:1903661|GO:0005044|GO:0005576|GO:0002376|GO:0005886|GO:0009986|GO:0006968|GO:0005615|GO:0006954|GO:0016192|GO:0030449|GO:0005737|GO:0006915|GO:0072562,,
UniProtKB:Q9UKB5,AJAP1,Adherens junction-associated protein 1,MOT8|SHREW1,Homo sapiens,protein,UniProtKB,family not named pthr32422,PANTHER:PTHR32422,negative regulation of wound healing|cell adhesion|spanning component of plasma membrane|beta-catenin binding|cytoplasmic side of plasma membrane|cell surface|protein-containing complex binding|cell-cell contact zone|protein binding|negative regulation of cell-matrix adhesion|cell-cell adherens junction|regulation of polarized epithelial cell differentiation|basolateral plasma membrane|apical plasma membrane,GO:0061045|GO:0007155|GO:0044214|GO:0008013|GO:0009898|GO:0009986|GO:0044877|GO:0044291|GO:0005515|GO:0001953|GO:0005913|GO:0030860|GO:0016323|GO:0016324,,
UniProtKB:O43847,NRDC,Nardilysin,NRD1,Homo sapiens,protein,UniProtKB,family not named pthr43690,PANTHER:PTHR43690,cell population proliferation|metalloendopeptidase activity|epidermal growth factor binding|cell surface|neuromuscular junction development|protein binding|positive regulation of membrane protein ectodomain proteolysis|metal ion binding|mitochondrion|proteolysis|cytosol|regulation of endopeptidase activity|cell migration|negative regulation of cold-induced thermogenesis,GO:0008283|GO:0004222|GO:0048408|GO:0009986|GO:0007528|GO:0005515|GO:0051044|GO:0046872|GO:0005739|GO:0006508|GO:0005829|GO:0052548|GO:0016477|GO:0120163,,
UniProtKB:Q9UBN4,TRPC4,Short transient receptor potential channel 4,,Homo sapiens,protein,UniProtKB,transient receptor potential channel pthr10117,PANTHER:PTHR10117,store-operated calcium channel activity|oligodendrocyte differentiation|calcium ion import|gamma-aminobutyric acid secretion|beta-catenin binding|plasma membrane|cell surface|caveola|protein binding|calcium channel complex|cell-cell junction|cadherin binding|calcium ion transport|calcium ion transmembrane transport|basolateral plasma membrane|cortical cytoskeleton,GO:0015279|GO:0048709|GO:0070509|GO:0014051|GO:0008013|GO:0005886|GO:0009986|GO:0005901|GO:0005515|GO:0034704|GO:0005911|GO:0045296|GO:0006816|GO:0070588|GO:0016323|GO:0030863,,
UniProtKB:Q9H295,DCSTAMP,Dendritic cell-specific transmembrane protein,TM7SF4,Homo sapiens,protein,UniProtKB,dendritic cell-specific transmembrane protein pthr21041,PANTHER:PTHR21041,membrane fusion|positive regulation of macrophage fusion|plasma membrane|cell surface|positive regulation of monocyte differentiation|endoplasmic reticulum membrane|osteoclast differentiation|protein binding|osteoclast fusion|negative regulation of cell growth|myeloid dendritic cell differentiation|positive regulation of bone resorption|cellular response to interleukin-4|integral component of membrane|integral component of endoplasmic reticulum membrane|endosome membrane|cellular response to tumor necrosis factor|cellular response to macrophage colony-stimulating factor stimulus|endoplasmic reticulum-Golgi intermediate compartment membrane,GO:0061025|GO:0034241|GO:0005886|GO:0009986|GO:0045657|GO:0005789|GO:0030316|GO:0005515|GO:0072675|GO:0030308|GO:0043011|GO:0045780|GO:0071353|GO:0016021|GO:0030176|GO:0010008|GO:0071356|GO:0036006|GO:0033116,,
UniProtKB:Q9UBR2,CTSZ,Cathepsin Z,,Homo sapiens,protein,UniProtKB,cysteine protease family c1-related pthr12411,PANTHER:PTHR12411,epithelial tube branching involved in lung morphogenesis|carboxypeptidase activity|specific granule lumen|collagen-containing extracellular matrix|Golgi membrane|extracellular region|negative regulation of protein binding|positive regulation of neuron apoptotic process|angiotensin maturation|ficolin-1-rich granule lumen|growth cone|endoplasmic reticulum lumen|extracellular exosome|negative regulation of plasminogen activation|negative regulation of neuron projection development|intracellular membrane-bounded organelle|positive regulation of neural precursor cell proliferation|cytoplasmic vesicle|endoplasmic reticulum-Golgi intermediate compartment membrane|endoplasmic reticulum|cysteine-type peptidase activity|neutrophil degranulation|regulation of neuron death|plasma membrane|lysosome|cell surface|COPII vesicle coating|extracellular space|endoplasmic reticulum to Golgi vesicle-mediated transport|protein binding|proteolysis|cell cortex region|COPII-coated ER to Golgi transport vesicle,GO:0060441|GO:0004180|GO:0035580|GO:0062023|GO:0000139|GO:0005576|GO:0032091|GO:0043525|GO:0002003|GO:1904813|GO:0030426|GO:0005788|GO:0070062|GO:0010757|GO:0010977|GO:0043231|GO:2000179|GO:0031410|GO:0033116|GO:0005783|GO:0008234|GO:0043312|GO:1901214|GO:0005886|GO:0005764|GO:0009986|GO:0048208|GO:0005615|GO:0006888|GO:0005515|GO:0006508|GO:0099738|GO:0030134,,
UniProtKB:Q9H244,P2RY12,P2Y purinoceptor 12,HORK3,Homo sapiens,protein,UniProtKB,p2y purinoceptor-related g-protein coupled receptor pthr24233,PANTHER:PTHR24233,"adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway|calcium-mediated signaling using extracellular calcium source|cell projection organization|external side of plasma membrane|response to axon injury|regulation of microglial cell migration|hemostasis|cell|ADP receptor activity|caveola|basal plasma membrane|protein kinase B signaling|positive regulation of ion transport|negative regulation of cell differentiation|calcium ion transmembrane transport|cell projection membrane|positive regulation of cell adhesion mediated by integrin|regulation of calcium ion transport|G protein-coupled adenosine receptor activity|calcium-mediated signaling|cellular response to ATP|platelet aggregation|cytosolic calcium signaling involved in initiation of cell movement in glial-mediated radial cell migration|potassium ion transmembrane transport|positive regulation of microglial cell migration|G protein-coupled receptor signaling pathway|microglial cell migration|guanyl-nucleotide exchange factor activity|positive regulation of phosphatidylinositol 3-kinase activity|activation of phospholipase C activity|phospholipase C-activating G protein-coupled receptor signaling pathway|substrate-dependent cell migration, cell extension|positive regulation of ruffle assembly|plasma membrane|cell surface|adenosine receptor signaling pathway|positive regulation of integrin activation by cell surface receptor linked signal transduction|visual system development|cell body membrane|mitochondrion|integral component of membrane|lamellipodium assembly|negative regulation of norepinephrine secretion|regulation of chemotaxis|positive regulation of chemotaxis|intrinsic component of membrane|G protein-coupled purinergic nucleotide receptor signaling pathway|positive regulation of protein kinase B signaling",GO:0007193|GO:0035585|GO:0030030|GO:0009897|GO:0048678|GO:1904139|GO:0007599|GO:0005623|GO:0001621|GO:0005901|GO:0009925|GO:0043491|GO:0043270|GO:0045596|GO:0070588|GO:0031253|GO:0033630|GO:0051924|GO:0001609|GO:0019722|GO:0071318|GO:0070527|GO:0021808|GO:0071805|GO:1904141|GO:0007186|GO:1904124|GO:0005085|GO:0043552|GO:0007202|GO:0007200|GO:0006930|GO:1900029|GO:0005886|GO:0009986|GO:0001973|GO:0033626|GO:0150063|GO:0044298|GO:0005739|GO:0016021|GO:0030032|GO:0010700|GO:0050920|GO:0050921|GO:0031224|GO:0035589|GO:0051897,,
UniProtKB:P42261,GRIA1,Glutamate receptor 1,GLUH1|GLUR1,Homo sapiens,protein,UniProtKB,ionotropic glutamate receptor pthr18966,PANTHER:PTHR18966,postsynaptic density|glutamate receptor activity|synaptic vesicle|dendritic spine membrane|Golgi membrane|transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential|neuronal cell body|endoplasmic reticulum membrane|dendrite|regulation of postsynaptic cytosolic calcium ion concentration|dendritic spine|PDZ domain binding|regulation of NMDA receptor activity|long-term synaptic depression|glutamatergic synapse|ionotropic glutamate receptor signaling pathway|endocytic vesicle membrane|endoplasmic reticulum-Golgi intermediate compartment membrane|AMPA glutamate receptor complex|axonal spine|regulation of postsynaptic membrane potential|neuron spine|signal transduction|ion transmembrane transport|chemical synaptic transmission|synaptic membrane|integral component of postsynaptic density membrane|AMPA glutamate receptor activity|amyloid-beta binding|plasma membrane|cell surface|COPII vesicle coating|long-term memory|early endosome membrane|endoplasmic reticulum to Golgi vesicle-mediated transport|protein binding|ER to Golgi transport vesicle membrane|cell junction|recycling endosome|recycling endosome membrane|receptor internalization,GO:0014069|GO:0008066|GO:0008021|GO:0032591|GO:0000139|GO:1904315|GO:0043025|GO:0005789|GO:0030425|GO:0099566|GO:0043197|GO:0030165|GO:2000310|GO:0060292|GO:0098978|GO:0035235|GO:0030666|GO:0033116|GO:0032281|GO:0044308|GO:0060078|GO:0044309|GO:0007165|GO:0034220|GO:0007268|GO:0097060|GO:0099061|GO:0004971|GO:0001540|GO:0005886|GO:0009986|GO:0048208|GO:0007616|GO:0031901|GO:0006888|GO:0005515|GO:0012507|GO:0030054|GO:0055037|GO:0055038|GO:0031623,,
UniProtKB:P07359,GP1BA,Platelet glycoprotein Ib alpha chain,,Homo sapiens,protein,UniProtKB,slit related leucine-rich repeat neuronal protein pthr24373,PANTHER:PTHR24373,"thrombin-activated receptor activity|regulation of blood coagulation|anchored component of external side of plasma membrane|cell morphogenesis|blood coagulation, intrinsic pathway|cell adhesion|cell surface receptor signaling pathway|regulation of megakaryocyte differentiation|blood coagulation|fibrinolysis|plasma membrane|cell surface|integral component of plasma membrane|thrombin-activated receptor signaling pathway|protein binding|extracellular exosome|membrane|platelet activation",GO:0015057|GO:0030193|GO:0031362|GO:0000902|GO:0007597|GO:0007155|GO:0007166|GO:0045652|GO:0007596|GO:0042730|GO:0005886|GO:0009986|GO:0005887|GO:0070493|GO:0005515|GO:0070062|GO:0016020|GO:0030168,,
UniProtKB:P07355,ANXA2,Annexin A2,ANX2|ANX2L4|CAL1H|LPC2D,Homo sapiens,protein,UniProtKB,annexin pthr10502,PANTHER:PTHR10502,"collagen-containing extracellular matrix|macropinosome|protein heterotetramerization|phosphatidylinositol-4,5-bisphosphate binding|negative regulation of low-density lipoprotein particle receptor catabolic process|RNA binding|molecular function regulator|calcium ion binding|sarcolemma|cytosol|positive regulation of low-density lipoprotein particle clearance|positive regulation of low-density lipoprotein receptor activity|positive regulation of low-density lipoprotein particle receptor binding|neutrophil degranulation|lysosomal membrane|plasma membrane|body fluid secretion|nucleus|late endosome membrane|protein binding|myelin sheath adaxonal region|negative regulation of catalytic activity|cell-cell adherens junction|melanosome|vesicle|midbody|positive regulation of vacuole organization|basolateral plasma membrane|phospholipase A2 inhibitor activity|osteoclast development|positive regulation of vesicle fusion|protease binding|positive regulation of receptor-mediated endocytosis involved in cholesterol transport|extracellular region|response to thyroid hormone|basement membrane|early endosome|membrane raft assembly|endosome|extracellular exosome|angiogenesis|positive regulation of receptor recycling|PCSK9-AnxA2 complex|ruffle|calcium ion transmembrane transport|azurophil granule lumen|identical protein binding|calcium-dependent protein binding|regulation of cytosolic calcium ion concentration|negative regulation of development of symbiont involved in interaction with host|S100 protein binding|calcium-dependent phospholipid binding|cell surface|lipid droplet|cadherin binding involved in cell-cell adhesion|extracellular space|vesicle budding from membrane|perinuclear region of cytoplasm|cytoplasm|cell cortex|Schmidt-Lanterman incisure|catabolism by host of symbiont protein|membrane|membrane raft|cytoskeletal protein binding|negative regulation by host of symbiont molecular function|cell-cell adhesion|extrinsic component of plasma membrane|interleukin-12-mediated signaling pathway",GO:0062023|GO:0044354|GO:0051290|GO:0005546|GO:0032804|GO:0003723|GO:0098772|GO:0005509|GO:0042383|GO:0005829|GO:1905581|GO:1905599|GO:1905597|GO:0043312|GO:0005765|GO:0005886|GO:0007589|GO:0005634|GO:0031902|GO:0005515|GO:0035749|GO:0043086|GO:0005913|GO:0042470|GO:0031982|GO:0030496|GO:0044090|GO:0016323|GO:0019834|GO:0036035|GO:0031340|GO:0002020|GO:1905602|GO:0005576|GO:0097066|GO:0005604|GO:0005769|GO:0001765|GO:0005768|GO:0070062|GO:0001525|GO:0001921|GO:1990667|GO:0001726|GO:0070588|GO:0035578|GO:0042802|GO:0048306|GO:0051480|GO:0044147|GO:0044548|GO:0005544|GO:0009986|GO:0005811|GO:0098641|GO:0005615|GO:0006900|GO:0048471|GO:0005737|GO:0005938|GO:0043220|GO:0052362|GO:0016020|GO:0045121|GO:0008092|GO:0052405|GO:0098609|GO:0019897|GO:0035722,,
UniProtKB:Q16552,IL17A,Interleukin-17A,CTLA8|IL17,Homo sapiens,protein,UniProtKB,,,cell-cell signaling|external side of plasma membrane|cytokine activity|extracellular region|positive regulation of transcription by RNA polymerase II|positive regulation of cytokine production involved in inflammatory response|extracellular space|inflammatory response|protein binding|immune response|cell death|positive regulation of interleukin-23 production|granulocyte migration|positive regulation of osteoclast differentiation|positive regulation of interleukin-6 secretion|interleukin-17-mediated signaling pathway|cytokine-mediated signaling pathway|apoptotic process|cellular response to interleukin-1|regulation of signaling receptor activity|defense response to fungus|fibroblast activation,GO:0007267|GO:0009897|GO:0005125|GO:0005576|GO:0045944|GO:1900017|GO:0005615|GO:0006954|GO:0005515|GO:0006955|GO:0008219|GO:0032747|GO:0097530|GO:0045672|GO:2000778|GO:0097400|GO:0019221|GO:0006915|GO:0071347|GO:0010469|GO:0050832|GO:0072537,,
UniProtKB:O43525,KCNQ3,Potassium voltage-gated channel subfamily KQT member 3,,Homo sapiens,protein,UniProtKB,voltage-gated potassium channel pthr11537,PANTHER:PTHR11537,potassium ion transmembrane transport|voltage-gated potassium channel complex|chemical synaptic transmission|plasma membrane|cell surface|voltage-gated potassium channel activity|integral component of plasma membrane|calmodulin binding|axon initial segment|protein binding|regulation of ion transmembrane transport|node of Ranvier|membrane hyperpolarization,GO:0071805|GO:0008076|GO:0007268|GO:0005886|GO:0009986|GO:0005249|GO:0005887|GO:0005516|GO:0043194|GO:0005515|GO:0034765|GO:0033268|GO:0060081,,
